armyPerception,civilianPerception,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,12
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,14
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,8
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,4
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,4
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,14
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,11
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,3
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,6
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,12
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,14
2.23857421875,2.02666015625,0.7373046875,2.35966796875,10,100,10,8
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,5
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,4
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,7
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,1
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,9
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,3
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,5
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,1
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,14
3.78857421875,3.57666015625,0.2373046875,3.90966796875,10,100,10,3
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,4
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,5
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,3
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,5
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,5
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,6
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,4
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,5
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,3
1.4635742187499998,4.35166015625,0.9873046875,1.5846679687499998,10,100,10,6
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,4
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,6
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,16
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,5
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,27
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,3
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,5
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,3
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,5
3.0135742187499996,2.8016601562499996,0.4873046875,3.1346679687499996,10,100,10,8
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,25
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,16
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,10
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,7
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,5
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,4
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,9
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,9
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,8
1.85107421875,2.41416015625,0.3623046875,4.29716796875,10,100,10,13
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,5
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,7
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,1
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,1
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,3
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,4
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,4
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,2
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,2
3.40107421875,3.96416015625,0.8623046875,2.74716796875,10,100,10,4
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,10
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,6
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,14
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,9
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,11
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,5
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,7
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,14
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,12
2.62607421875,3.18916015625,0.1123046875,3.52216796875,10,100,10,2
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,7
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,2
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,4
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,4
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,11
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,4
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,4
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,14
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,8
4.17607421875,1.63916015625,0.6123046875,1.97216796875,10,100,10,11
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,10
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,8
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,13
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,11
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,5
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,8
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,3
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,14
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,12
2.72294921875,1.7360351562499998,0.3935546875,3.81279296875,10,100,10,13
4.27294921875,3.2860351562499996,0.8935546875,2.26279296875,10,100,10,2
4.27294921875,3.2860351562499996,0.8935546875,2.26279296875,10,100,10,4
4.27294921875,3.2860351562499996,0.8935546875,2.26279296875,10,100,10,2
4.27294921875,3.2860351562499996,0.8935546875,2.26279296875,10,100,10,1
